Date,Date.1,Local_Institutes_buy,Local_Institutes_sell,Local_Institutes_net,Proprietary_Trading_buy,Proprietary_Trading_sell,Proprietary_Trading_net,Foreign_Investors_buy,Foreign_Investors_sell,Foreign_Investors_net,Local Investors,Unnamed: 11,Unnamed: 12,Open,High,Low,Close,Adj Close,Volume,Gold_Open,Gold_High,Gold_Low,Gold_Close,Gold_Adjclose,Gold_Volume,Dji_Open,Dji_High,Dji_Low,Dji_Close,Dji_Adjclose,Dji_Volume,ADX,Aroon_Oscillator,Stoch_Oscillator,MACD,RSI,ichimoku_a,ichimoku_b,ichimoku_base_line,ichimoku_conversion_line,parabolic_sar,EMA_10,EMA_20,EMA_50,EMA_100,bb_bbm,bb_bbh,bb_bbl
12/6/2017,12/6/2017 0:00,10363.77507,7123.589226,3240.185847,4627.573495,5777.152431,-1149.578936,21629.3001,24958.48325,-3329.183151,28847.73108,27609.15484,1238.57624,1694.959961,1696.630005,1686.02002,1694.390015,1694.390015,10621000.0,1264.900024,1267.800049,1261.599976,1262.800049,1262.800049,373.0,1264.900024,1267.800049,1261.599976,1262.800049,1262.800049,373.0,0.0,0.0,22.97559937733615,0.0,42.598355984211295,0.0,1701.48999,0.0,1704.2349855,1721.8499510000001,1700.0146363378508,1702.2378246741932,1705.9599271852267,1708.3283106256163,1701.5335082999998,1719.0171453190446,1684.049871280955
12/7/2017,12/7/2017 0:00,5514.031445,4611.672039,902.3594053,5322.151181,4774.710035,547.4411464,16158.56162,17244.59486,-1086.033239,20571.33406,20935.10137,-363.7673127,1693.810059,1703.51001,1690.439941,1703.369995,1703.369995,8867000.0,1262.300049,1262.400024,1243.900024,1249.800049,1249.800049,358.0,1262.300049,1262.400024,1243.900024,1249.800049,1249.800049,358.0,0.0,0.0,47.6256048906599,0.0,49.9639060064991,0.0,1701.48999,0.0,1700.715027,1720.4167537600001,1700.6247015491506,1702.345650419508,1705.8583612171785,1708.2301261577823,1701.0645080499999,1717.8069785350967,1684.322037564903
12/8/2017,12/8/2017 0:00,6912.610244,4573.648507,2338.961737,6049.04687,5267.025538,782.0213325,17766.30951,18606.23775,-839.9282352,25094.16737,27375.22221,-2281.054834,1706.689941,1712.48999,1704.069946,1706.52002,1706.52002,10678000.0,1246.300049,1249.300049,1241.5,1245.199951,1245.199951,157.0,1246.300049,1249.300049,1241.5,1245.199951,1245.199951,157.0,0.0,0.0,56.27240962932356,0.0,52.277196206865504,0.0,1701.48999,0.0,1700.715027,1719.0408844096,1701.696577631123,1702.743209427174,1705.8843086204265,1708.1962626695092,1700.6580078499999,1716.4278722024828,1684.888143497517
12/12/2017,12/12/2017 0:00,5465.254506,4456.149504,1009.105003,5641.606193,5096.661923,544.9442691,19148.95422,19855.32992,-706.375702,22000.52861,22848.20218,-847.6735697,1709.540039,1710.800049,1699.97998,1702.170044,1702.170044,8381900.0,1241.300049,1244.400024,1236.5,1238.5,1238.5,692.0,1241.300049,1244.400024,1236.5,1238.5,1238.5,692.0,0.0,0.0,44.33174468543456,0.0,48.9141069706822,0.0,1701.48999,0.0,1700.715027,1717.720049833216,1701.7826624254642,1702.6886222436335,1705.7386511843313,1708.0769316067465,1700.6150085999998,1716.3634427999539,1684.8665744000457
12/13/2017,12/13/2017 0:00,7209.516869,4207.921271,3001.595598,4706.845212,4375.98459,330.860622,14894.96834,16203.23811,-1308.269773,16927.14502,18951.33147,-2024.186447,1704.01001,1708.699951,1702.579956,1706.930054,1706.930054,8367200.0,1241.900024,1254.5,1239.800049,1245.400024,1245.400024,349.0,1241.900024,1254.5,1239.800049,1245.400024,1245.400024,349.0,0.0,0.0,57.39795115176014,0.0,52.51405997575437,0.0,1701.48999,0.0,1700.715027,1716.4520486398874,1702.7185518026524,1703.0925681251922,1705.7853728633772,1708.0542211590882,1701.49750985,1716.5699201781329,1686.425099521867
12/14/2017,12/14/2017 0:00,6498.720002,5029.098229,1469.621773,5345.587844,5008.528985,337.058859,16237.39298,16838.97829,-601.5853191,19317.72402,20522.81933,-1205.095313,1709.52002,1716.140015,1707.48999,1714.98999,1714.98999,8155600.0,1252.900024,1257.699951,1250.300049,1253.800049,1253.800049,139.0,1252.900024,1257.699951,1250.300049,1253.800049,1253.800049,139.0,0.0,28.0,79.52243994093759,0.04086170511004639,57.9211998141452,1701.28500375,1701.48999,1701.48999,1701.0800175,1686.02002,1704.9497223839883,1704.225655922793,1706.1463382412842,1708.191563116334,1702.8945069000001,1717.524432709311,1688.2645810906893
12/15/2017,12/15/2017 0:00,4827.47193,3802.344672,1025.127258,5395.106383,4360.249004,1034.857379,23670.16215,23012.53364,657.6285056,18161.21445,20878.82759,-2717.613143,1713.26001,1717.689941,1709.160034,1717.689941,1717.689941,8341900.0,1253.099976,1260.300049,1253.099976,1254.300049,1254.300049,578.0,1253.099976,1260.300049,1253.099976,1254.300049,1254.300049,578.0,0.0,28.0,100.0,1.0856978181875547,59.58151876390131,1701.6724852500001,1701.48999,1701.48999,1701.8549805,1686.6224198999998,1707.2661257687175,1705.507968787289,1706.5990285455475,1708.3796498070997,1703.6475037,1719.6329250035867,1687.6620823964133
12/18/2017,12/18/2017 0:00,5898.640432,4093.489703,1805.150729,5512.255487,5223.494774,288.760713,14596.88214,14165.6323,431.2498325,19209.66097,21734.82224,-2525.161274,1720.410034,1727.069946,1717.329956,1723.709961,1723.709961,7734800.0,1256.199951,1262.400024,1255.699951,1262.199951,1262.199951,45.0,1256.199951,1262.400024,1255.699951,1262.199951,1262.199951,45.0,9.160676667077231,88.0,91.81488171257595,2.3721585014457105,63.079536860459996,1705.1724852500001,1703.7999875,1703.7999875,1706.544983,1687.8651207439998,1710.255913992587,1707.2414918551663,1707.2700455045456,1708.683220325771,1705.3200012500001,1722.3200054589258,1688.3199970410744
12/19/2017,12/19/2017 0:00,8980.03525,5101.077295,3878.957954,10780.66178,7366.559874,3414.101907,19851.82545,22602.26111,-2750.435657,26185.96306,30728.58727,-4542.624205,1727.219971,1736.829956,1726.819946,1732.310059,1732.310059,10452600.0,1261.099976,1264.300049,1259.5,1260.699951,1260.699951,329.0,1261.099976,1264.300049,1259.5,1260.699951,1260.699951,329.0,10.174882568943328,92.0,91.10430487454242,4.039083851560008,67.41777113177079,1710.0524902500001,1708.6799925,1708.6799925,1711.424988,1690.21741025936,1714.2657585393893,1709.6289744403884,1708.252006818093,1709.1510785173398,1707.3730042,1726.8214106922376,1687.9245977077624
12/20/2017,12/20/2017 0:00,5180.150471,4871.883761,308.26671,6888.348693,5698.161117,1190.187576,16044.34199,16301.36054,-257.0185526,20244.82892,21486.26466,-1241.435733,1734.449951,1739.290039,1728.810059,1738.160034,1738.160034,9516600.0,1261.300049,1266.599976,1261.300049,1266.099976,1266.099976,63.0,1261.300049,1266.599976,1261.300049,1266.099976,1266.099976,63.0,11.267912636159513,96.0,97.87872236351187,5.765714722999519,70.00004202651263,1712.387512,1709.910034,1709.910034,1714.86499,1693.9464139186111,1718.6101722595001,1712.3462182079707,1709.4248706291482,1709.7255132793728,1708.81200565,1732.4492695511767,1685.1747417488232
